"22643","","22643","5","","","","1"
"92650","","92650","5","","","","1"
"23551","","23551","5","","","","1"
"32463","","32463","5","","","","1"
"50104","","50104","5","","","","1"
"99005","","99005","5","","","","1"
"18671","","18671","5","","","","1"
"71854","","71854","5","","","","1"
"61045","","61045","5","","","","1"
"43860","","43860","5","","","","1"
"20061","","20061","5","","","","1"
"30697","","30697","5","","","","1"
"12324","","12324","5","","","","1"
"28873","","28873","5","","","","1"
"81234","","81234","5","","","","1"
"60255","","60255","5","","","","1"
"95085","","95085","5","","","","1"
"42441","","42441","5","","","","1"
"26962","","26962","5","","","","1"
"35043","","35043","5","","","","1"
"88701","","88701","5","","","","1"
"80009","","80009","5","","","","1"
"34293","","34293","5","","","","1"
"61188","","61188","5","","","","1"
"66522","","66522","5","","","","1"
"10632","","10632","5","","","","1"
"76570","","76570","5","","","","1"
"19178","","19178","5","","","","1"
"99510","","99510","5","","","","1"
"39357","","39357","5","","","","1"
"73084","","73084","5","","","","1"
"11011","","11011","5","","","","1"
"64664","","64664","5","","","","1"
"19637","","19637","5","","","","1"
"54946","","54946","5","","","","1"
"12504","","12504","5","","","","1"
"84738","","84738","5","","","","1"
"71129","","71129","5","","","","1"
"65961","","65961","5","","","","1"
"63239","","63239","5","","","","1"
"75624","","75624","5","","","","1"
"20947","","20947","5","","","","1"
"63581","","63581","5","","","","1"
"35135","","35135","5","","","","1"
"65234","","65234","5","","","","1"
"55054","","55054","5","","","","1"
"76002","","76002","5","","","","1"
"91999","","91999","5","","","","1"
"82600","","82600","5","","","","1"
"22338","","22338","5","","","","1"
"44222","","44222","5","","","","1"
"39289","","39289","5","","","","1"
"14477","","14477","5","","","","1"
"20664","","20664","5","","","","1"
"44266","","44266","5","","","","1"
"81961","","81961","5","","","","1"
"41511","","41511","5","","","","1"
"41461","","41461","5","","","","1"
"17464","","17464","5","","","","1"
"24609","","24609","5","","","","1"
"28519","","28519","5","","","","1"
"53227","","53227","5","","","","1"
"54865","","54865","5","","","","1"
"32322","","32322","5","","","","1"
"49923","","49923","5","","","","1"
"32803","","32803","5","","","","1"
"45257","","45257","5","","","","1"
"34955","","34955","5","","","","1"
"25747","","25747","5","","","","1"
"16108","","16108","5","","","","1"
"94207","","94207","5","","","","1"
"64257","","64257","5","","","","1"
"98419","","98419","5","","","","1"
"36098","","36098","5","","","","1"
"85813","","85813","5","","","","1"
"83138","","83138","5","","","","1"
"10643","","10643","5","","","","1"
"57040","","57040","5","","","","1"
"76712","","76712","5","","","","1"
"52942","","52942","5","","","","1"
"72520","","72520","5","","","","1"
"14433","","14433","5","","","","1"
"74456","","74456","5","","","","1"
"11434","","11434","5","","","","1"
"28614","","28614","5","","","","1"
"28218","","28218","5","","","","1"
"26951","","26951","5","","","","1"
"67236","","67236","5","","","","1"
"59678","","59678","5","","","","1"
"23465","","23465","5","","","","1"
"39918","","39918","5","","","","1"
"32311","","32311","5","","","","1"
"37332","","37332","5","","","","1"
"85157","","85157","5","","","","1"
"14089","","14089","5","","","","1"
"27724","","27724","5","","","","1"
"41450","","41450","5","","","","1"
"12313","","12313","5","","","","1"
"90010","","90010","5","","","","1"
"31959","","31959","5","","","","1"
"87854","","87854","5","","","","1"
"41500","","41500","5","","","","1"
"11805","","11805","5","","","","1"
"62594","","62594","5","","","","1"
"19513","","19513","5","","","","1"
"20341","","20341","5","","","","1"
"57932","","57932","5","","","","1"
"55856","","55856","5","","","","1"
"42149","","42149","5","","","","1"
"61856","","61856","5","","","","1"
"63999","","63999","5","","","","1"
"24541","","24541","5","","","","1"
"89515","","89515","5","","","","1"
"45715","","45715","5","","","","1"
"61464","","61464","5","","","","1"
"12692","","12692","5","","","","1"
"67838","","67838","5","","","","1"
"34327","","34327","5","","","","1"
"57755","","57755","5","","","","1"
"93122","","93122","5","","","","1"
"60114","","60114","5","","","","1"
"49853","","49853","5","","","","1"
"18331","","18331","5","","","","1"
"30208","","30208","5","","","","1"
"48077","","48077","5","","","","1"
"15536","","15536","5","","","","1"
"32167","","32167","5","","","","1"
"70837","","70837","5","","","","1"
"93060","","93060","5","","","","1"
"72166","","72166","5","","","","1"
"22808","","22808","5","","","","1"
"53506","","53506","5","","","","1"
"11789","","11789","5","","","","1"
"88162","","88162","5","","","","1"
"77178","","77178","5","","","","1"
"17568","","17568","5","","","","1"
"15360","","15360","5","","","","1"
"36328","","36328","5","","","","1"
"79091","","79091","5","","","","1"
"54812","","54812","5","","","","1"
"81626","","81626","5","","","","1"
"17705","","17705","5","","","","1"
"11280","","11280","5","","","","1"
"94218","","94218","5","","","","1"
"80494","","80494","5","","","","1"
"31404","","31404","5","","","","1"
"82835","","82835","5","","","","1"
"86358","","86358","5","","","","1"
"19447","","19447","5","","","","1"
"20268","","20268","5","","","","1"
"96704","","96704","5","","","","1"
"18725","","18725","5","","","","1"
"71941","","71941","5","","","","1"
"59570","","59570","5","","","","1"
"63891","","63891","5","","","","1"
"43135","","43135","5","","","","1"
"38915","","38915","5","","","","1"
"78715","","78715","5","","","","1"
"88338","","88338","5","","","","1"
